permit_number,outfall_number,parameter_code,parameter_name,limit_type,limit_value,unit,review_status
KYGE40869,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,001,01148,"Selenium, Dry Weight",daily_max,8.6,mg/kg,pending_review
KYGE40869,001,00400,pH,daily_max,6,SU,pending_review
KYGE40869,010,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40869,010,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,010,00400,pH,daily_max,6,SU,pending_review
KYGE40869,049,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,049,00400,pH,daily_max,6,SU,pending_review
KYGE40869,026,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,026,00400,pH,daily_max,6,SU,pending_review
KYGE40869,020,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,020,00400,pH,daily_max,6,SU,pending_review
KYGE40869,037,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,037,00400,pH,daily_max,6,SU,pending_review
KYGE40869,012,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,012,00400,pH,daily_max,6,SU,pending_review
KYGE40869,050,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,050,00400,pH,daily_max,6,SU,pending_review
KYGE40869,002,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,002,01148,"Selenium, Dry Weight",daily_max,8.6,mg/kg,pending_review
KYGE40869,002,00400,pH,daily_max,6,SU,pending_review
KYGE40869,013,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,013,00400,pH,daily_max,6,SU,pending_review
KYGE40869,036,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,036,00400,pH,daily_max,6,SU,pending_review
KYGE40869,009,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40869,009,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,009,00400,pH,daily_max,6,SU,pending_review
KYGE40869,043,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,043,00400,pH,daily_max,6,SU,pending_review
KYGE40869,042,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,042,01148,"Selenium, Dry Weight",daily_max,8.6,mg/kg,pending_review
KYGE40869,042,00400,pH,daily_max,6,SU,pending_review
KYGE40869,040,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,040,00400,pH,daily_max,6,SU,pending_review
KYGE40869,017,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,017,01148,"Selenium, Dry Weight",daily_max,8.6,mg/kg,pending_review
KYGE40869,017,00400,pH,daily_max,6,SU,pending_review
KYGE40869,005,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40869,005,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,005,00400,pH,daily_max,6,SU,pending_review
KYGE40869,006,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40869,006,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,006,00400,pH,daily_max,6,SU,pending_review
KYGE40869,025,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,025,00400,pH,daily_max,6,SU,pending_review
KYGE40869,038,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,038,00400,pH,daily_max,6,SU,pending_review
KYGE40869,004,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40869,004,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,004,00400,pH,daily_max,6,SU,pending_review
KYGE40869,033,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,033,00400,pH,daily_max,6,SU,pending_review
KYGE40869,039,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,039,00400,pH,daily_max,6,SU,pending_review
KYGE40869,018,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,018,01148,"Selenium, Dry Weight",daily_max,8.6,mg/kg,pending_review
KYGE40869,018,00400,pH,daily_max,6,SU,pending_review
KYGE40869,007,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40869,007,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,007,00400,pH,daily_max,6,SU,pending_review
KYGE40869,053,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,053,00400,pH,daily_max,6,SU,pending_review
KYGE40869,041,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,041,00400,pH,daily_max,6,SU,pending_review
KYGE40869,003,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40869,003,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,003,00400,pH,daily_max,6,SU,pending_review
KYGE40869,045,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,045,00400,pH,daily_max,6,SU,pending_review
KYGE40869,048,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,048,00400,pH,daily_max,6,SU,pending_review
KYGE40869,024,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,024,00400,pH,daily_max,6,SU,pending_review
KYGE40869,016,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,016,01148,"Selenium, Dry Weight",daily_max,8.6,mg/kg,pending_review
KYGE40869,016,00400,pH,daily_max,6,SU,pending_review
KYGE40869,047,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,047,00400,pH,daily_max,6,SU,pending_review
KYGE40869,021,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,021,00400,pH,daily_max,6,SU,pending_review
KYGE40869,023,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,023,01148,"Selenium, Dry Weight",daily_max,8.6,mg/kg,pending_review
KYGE40869,023,00400,pH,daily_max,6,SU,pending_review
KYGE40869,011,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,011,00400,pH,daily_max,6,SU,pending_review
KYGE40869,027,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,027,00400,pH,daily_max,6,SU,pending_review
KYGE40869,052,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,052,00400,pH,daily_max,6,SU,pending_review
KYGE40869,029,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,029,00400,pH,daily_max,6,SU,pending_review
KYGE40869,034,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,034,00400,pH,daily_max,6,SU,pending_review
KYGE40869,046,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,046,00400,pH,daily_max,6,SU,pending_review
KYGE40869,015,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,015,00400,pH,daily_max,6,SU,pending_review
KYGE40869,019,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,019,01148,"Selenium, Dry Weight",daily_max,8.6,mg/kg,pending_review
KYGE40869,019,00400,pH,daily_max,6,SU,pending_review
KYGE40869,044,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,044,00400,pH,daily_max,6,SU,pending_review
KYGE40869,028,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,028,00400,pH,daily_max,6,SU,pending_review
KYGE40869,008,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40869,008,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,008,00400,pH,daily_max,6,SU,pending_review
KYGE40869,035,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,035,00400,pH,daily_max,6,SU,pending_review
WV1006070,001,01045,"Iron, Total",daily_max,2.46,mg/L,pending_review
WV1006070,001,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
WV1021079,015,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1021079,015,01105,"Aluminum, Total",daily_max,0.14,mg/L,pending_review
WV1021095,004,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1021095,001,01045,"Iron, Total",daily_max,2.46,mg/L,pending_review
WV1021095,001,01055,"Manganese, Total",daily_max,2,mg/L,pending_review
WV1021095,001,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
WV1021095,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1021095,001,01105,"Aluminum, Total",daily_max,0.75,mg/L,pending_review
WV1021095,001,00400,pH,daily_max,9,SU,pending_review
WV1005952,003,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1005952,002,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
TN0049964,005,01119,"Copper, Total Recoverable",daily_max,78,ug/L,pending_review
TN0049964,002,01119,"Copper, Total Recoverable",daily_max,78,ug/L,pending_review
WV1026488,015,01045,"Iron, Total",daily_max,0.6,mg/L,pending_review
WV1026488,015,01055,"Manganese, Total",daily_max,4,mg/L,pending_review
WV1026488,015,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
WV1026488,015,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1026488,015,01105,"Aluminum, Total",daily_max,0.14,mg/L,pending_review
WV1026488,015,00400,pH,daily_max,9,SU,pending_review
WV1024159,003,01105,"Aluminum, Total",daily_max,0.43,mg/L,pending_review
KYGE40958,033,00530,Total Suspended Solids,daily_max,35,mg/L,pending_review
KYGE40958,033,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40958,033,01148,"Selenium, Dry Weight",daily_max,8.6,mg/kg,pending_review
KYGE40958,033,00400,pH,daily_max,6,SU,pending_review
KYGE40958,015,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40958,015,00400,pH,daily_max,6,SU,pending_review
WV1021281,003,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1021281,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1021281,002,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1005995,001,01045,"Iron, Total",daily_max,2.46,mg/L,pending_review
WV1006479,003,61426,"Toxicity, Chronic Ceriodaphnia",daily_max,0.82,tox chronic,pending_review
WV1006479,003,01045,"Iron, Total",daily_max,5.26,mg/L,pending_review
WV1006479,003,01055,"Manganese, Total",daily_max,4,mg/L,pending_review
WV1006479,003,01105,"Aluminum, Total",daily_max,0.43,mg/L,pending_review
WV1005481,004,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1005481,006,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1005481,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1005481,003,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1005481,002,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1005481,005,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018965,021,01045,"Iron, Total",daily_max,2.28,mg/L,pending_review
WV1018965,021,01055,"Manganese, Total",daily_max,3.47,mg/L,pending_review
WV1018965,021,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
WV1018965,021,01105,"Aluminum, Total",daily_max,1.89,mg/L,pending_review
WV1012088,001,00545,Settleable Solids,daily_max,0.5,mL/L,pending_review
KYGE40869,001,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,001,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,001,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,002,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,002,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,002,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,003,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,003,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,003,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,004,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,004,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,004,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,005,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,005,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,005,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,006,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,006,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,006,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,007,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,007,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,007,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,008,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,008,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,008,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,009,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,009,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,009,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,010,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,010,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,010,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,011,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,011,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,011,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,012,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,012,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,012,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,013,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,013,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,013,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,015,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,015,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,015,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,016,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,016,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,016,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,017,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,017,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,017,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,018,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,018,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,018,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,019,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,019,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,019,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,020,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,020,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,020,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,021,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,021,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,021,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,023,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,023,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,023,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,024,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,024,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,024,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,025,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,025,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,025,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,026,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,026,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,026,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,027,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,027,00945,Sulfate,daily_max,320,mg/l,pending_review
KYGE40869,027,50050,Flow,daily_max,70,GPM,pending_review
KYGE40869,028,00095,Specific Conductance,daily_max,70,UMHO/CM,pending_review
KYGE40869,028,00945,Sulfate,daily_max,320,mg/l,pending_review
