permit_number,npdes_id,state_code,confidence,confirmation_basis,confirmation_reference,review_status,category,source_reference,notes
VA0081991,VA0081991,VA,CANDIDATE,operator_deq_signoff,TODO: Operator or VA DEQ sign-off confirming VA0081991 is SCC federal VPDES,needs_identity_confirmation,va_valid_format_unconfirmed,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA valid-format unconfirmed; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,"Permit number is already valid federal VPDES format, but local evidence did not confirm it in CD Attachment F Q1-Q3 or ECHO. Promote only after operator, DEQ, CEDS, or permit PDF confirmation."
VA0082042,VA0082042,VA,CANDIDATE,operator_deq_signoff,TODO: Operator or VA DEQ sign-off confirming VA0082042 is SCC federal VPDES,needs_identity_confirmation,va_valid_format_unconfirmed,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA valid-format unconfirmed; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,"Permit number is already valid federal VPDES format, but local evidence did not confirm it in CD Attachment F Q1-Q3 or ECHO. Promote only after operator, DEQ, CEDS, or permit PDF confirmation."
VA0082047,VA0082047,VA,CANDIDATE,operator_deq_signoff,TODO: Operator or VA DEQ sign-off confirming VA0082047 is SCC federal VPDES,needs_identity_confirmation,va_valid_format_unconfirmed,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA valid-format unconfirmed; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,"Permit number is already valid federal VPDES format, but local evidence did not confirm it in CD Attachment F Q1-Q3 or ECHO. Promote only after operator, DEQ, CEDS, or permit PDF confirmation."
VA0082051,VA0082051,VA,CANDIDATE,operator_deq_signoff,TODO: Operator or VA DEQ sign-off confirming VA0082051 is SCC federal VPDES,needs_identity_confirmation,va_valid_format_unconfirmed,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA valid-format unconfirmed; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,"Permit number is already valid federal VPDES format, but local evidence did not confirm it in CD Attachment F Q1-Q3 or ECHO. Promote only after operator, DEQ, CEDS, or permit PDF confirmation."
VA0082054,VA0082054,VA,CANDIDATE,operator_deq_signoff,TODO: Operator or VA DEQ sign-off confirming VA0082054 is SCC federal VPDES,needs_identity_confirmation,va_valid_format_unconfirmed,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA valid-format unconfirmed; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,"Permit number is already valid federal VPDES format, but local evidence did not confirm it in CD Attachment F Q1-Q3 or ECHO. Promote only after operator, DEQ, CEDS, or permit PDF confirmation."
VA0082066,VA0082066,VA,CANDIDATE,operator_deq_signoff,TODO: Operator or VA DEQ sign-off confirming VA0082066 is SCC federal VPDES,needs_identity_confirmation,va_valid_format_unconfirmed,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA valid-format unconfirmed; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,"Permit number is already valid federal VPDES format, but local evidence did not confirm it in CD Attachment F Q1-Q3 or ECHO. Promote only after operator, DEQ, CEDS, or permit PDF confirmation."
VA0082071,VA0082071,VA,CANDIDATE,operator_deq_signoff,TODO: Operator or VA DEQ sign-off confirming VA0082071 is SCC federal VPDES,needs_twin_dedupe_confirmation,va_valid_format_unconfirmed,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA valid-format unconfirmed; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,"Permit number is already valid federal VPDES format, but local evidence did not confirm it in CD Attachment F Q1-Q3 or ECHO. Promote only after operator, DEQ, CEDS, or permit PDF confirmation."
VA0082074,VA0082074,VA,CANDIDATE,operator_deq_signoff,TODO: Operator or VA DEQ sign-off confirming VA0082074 is SCC federal VPDES,needs_identity_confirmation,va_valid_format_unconfirmed,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA valid-format unconfirmed; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,"Permit number is already valid federal VPDES format, but local evidence did not confirm it in CD Attachment F Q1-Q3 or ECHO. Promote only after operator, DEQ, CEDS, or permit PDF confirmation."
VA0082058,,VA,BLOCKED,vpdes_pdf,TODO: real SCC VPDES permit PDF or VA DEQ CEDS record for this registry row,blocked_false_positive,va_false_positive,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA false positive; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md false-positive warnings,"Do not map to VA0082058. The May gap report says the ECHO hit is Washington District Elementary, not an SCC coal facility."
VA1101916,VA0081916,VA,CANDIDATE,va_deq_ceds,TODO: VA DEQ CEDS or VPDES PDF cite pairing SMCRA 1101916 to VA0081916,needs_dmlr_pairing_and_dedupe,va_pseudo_npdes,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA pseudo-NPDES; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2c,VA1101916 is a rejected pseudo-NPDES value. VA0081916 is only a candidate inferred from the DMLR digit pattern and duplicate registry context.
VA0081914,VA0081914,VA,PROXIMITY,cd_attachment_f,TODO: primary Q4 2025 CD Attachment F PDF cite confirming VA0081914,needs_primary_attachment_f_confirmation,va_proximity_held,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md VA PROXIMITY held; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md VA section 2b,Held at PROXIMITY because the primary Q4 2025 Attachment F PDF was not in local folders when the May gap report was prepared.
WV0081742,VA0081742,WV,CANDIDATE,va_deq_ceds,TODO: resolve registry state and cite VA DEQ CEDS/VPDES source before mapping WV0081742,needs_va_wv_conflation_resolution,wv_va_state_conflict,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md WV conflicts; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md ambiguous duplicate registry IDs,Registry contains a WV-prefixed row and a VA bare 0081742 row with the same core. Proposed VA0081742 is only for review after state ownership is resolved.
1102042,VA0082042,WV,CANDIDATE,va_deq_ceds,TODO: resolve registry state and cite VA DEQ CEDS/VPDES source before mapping 1102042,needs_registry_state_resolution,wv_va_state_conflict,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md WV conflicts; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md ambiguous duplicate registry IDs,"Registry says WV DEP, but Lawson operations list places this in VA Outfalls. Proposed VA0082042 is only for review after state/source reconciliation."
1102051,VA0082051,WV,CANDIDATE,va_deq_ceds,TODO: resolve registry state and cite VA DEQ CEDS/VPDES source before mapping 1102051,needs_registry_state_resolution,wv_va_state_conflict,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md WV conflicts; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md ambiguous duplicate registry IDs,"Registry says WV DEP, but Lawson operations list places this in VA Outfalls. Proposed VA0082051 is only for review after state/source reconciliation."
WV-UAT-FAKE-001,,WV,DELETE_ROW,,,delete_test_fixture,wv_test_fixture,docs/NPDES_MAPPING_CLEANUP_BACKLOG.md WV permits; ../SOUTHERN COAL/SCC_Federal_NPDES_Mapping_GAPS.md ambiguous duplicate registry IDs,Not a mapping candidate. The May gap report identifies this as a UAT/test fixture row and recommends deleting it from npdes_permits.
